UWI,Operator - On Record,End Completion Date,Field,Completed Zone,Dir,Open or Cased,Technology,Status,AFE Drilling Cost (K$),Total End Completion Costs (K$),# Days,Est Problem Time (%),Base Fluid,Load Fluid (m3),Load Fluid Rec (m3),Stimulation Fluid,Stim Company - On Record,Frac Report,Stages Attempted (#),Stages Actual (#),Completed Length (m),Avg Frac Spacing (m),Total Proppant Design (t),Total Proppant Placed (t),Avg Fluid Pumped per Stage (m3),Total Fluid Pumped (m3),6 mo Cal Gas Rate (mcf/d),12 mo Cal Gas Rate (mcf/d),12 Mo Cum Prod Gas (mmcf),6 mo Cal Oil Rate (bopd),12 mo Cal Oil Rate (bopd),6 Mo Cum Prod  Oil (mbo),12 Mo Cum Prod Oil (mbo),Job Objective,AFE Completion Cost (K$)
00/10-36-051-28W5/0,Suncor,10/18/2007,Undefined,Montney,H,Open,None,STAN,"11,360",,16,<10%,,25,25,,None,3 - No Report,,,,,,,,,,,,,,,,"Perforate,Evaluate",
00/06-25-052-20W5/0,Open Range Energy Corp.,11/19/2008,Ansell,Montney,D,Cased,None,OGABN,,612,21,,HCl,,,,None,3 - No Report,,,,,,,,2,,,,,,,,"Perforate,Stim,Evaluate",434
00/05-13-052-28W5/3,ConocoPhillips Canada Resource Corp.,3/21/2004,Solomon,Montney,H,Open,None,OGABN,,712,21,<10%,,,,,,3 - No Report,,,,,,,,,,,,,,,,"OH,Stim,Evaluate",609
00/02-34-053-19W5/4,Canadian Natural Resources,11/6/2004,Edson,Montney,V,Cased,Single Stage Frac,DRABN,,342,9,,Oil,,,Unknown,Halliburton,3 - No Report,,1,,,30,30,147,147,,,,,,,,1 x 30t Oil Frac,
00/11-26-054-22W5/2,Texaco Canada Petroleum Inc.,4/13/1980,Sundance,Montney,V,Cased,Mechanical Plug,GSUP,,,18,,Oil,,,Unknown,Fracmaster,3 - No Report,,1,,,10,10,,,836,780,536,0,0,,,1 x 10t Oil Frac,
00/01-06-055-22W5/4,Chevron ,8/17/2010,Sundance,Montney,H,Cased,None,GABN,,169,6,,,,,,None,3 - No Report,,,,,,,,,"1,834",483,"1,082",0,0,,,"Perforate,Evaluate",
02/01-25-055-26W5/0,Tourmaline Oil,,Wild River,Montney,D,Open,None,DRABN,,,1,,,,,,None,3 - No Report,,,,,,,,,,,,,,,,Abandon while drilling at 3909mKB,
00/06-25-055-26W5/2,Tourmaline Oil,10/10/2014,Wild River,Montney,H,Open,PP (StackFRAC),GAS,"5,594","2,650",21,,Water,"5,282",946,Unknown,Trican,1 - Report w Charts,15,11,891,89,665,525,476,"5,238",82,291,74,0,0,,,1 x 35T + 14 x 45t/stage TWS-Slickwater Frac,
00/10-14-056-21W5/0,Hudson's Bay Oil & Gas Company,8/29/1980,Sundance,Montney,V,Cased,None,GSUP,,,57,,,,,,None,3 - No Report,,,,,,,,,"11,773","4,983","3,512",0,0,,,"Perforate,Evaluate,Equip",
00/06-21-057-24W5/0,Canadian Forest Oil,12/16/2006,Wild River,Montney,V,,,OGABN,"6,117",330,2,<10%,,,,,Trican,3 - No Report,,,,,,,,,,,,,,,,Stim,330
00/16-25-057-26W5/0,XTO Energy,8/20/2014,Wild River,Montney,H,Cased,Flow-Through BP,GAS,,"5,196",23,<10%,Slickwater,"16,642",187,CSG-Optimum SW,Canyon,1 - Report w Charts,18,17,"1,655",108,"2,550","2,373",966,"16,419",,,,,,,,17 x 150t/stage CSG-Optimum SW Frac,"6,470"
00/06-01-057-27W5/2,Celtic Exploration Ltd.,4/4/2011,Wild River,Montney,V,Cased,None,GABN,,"1,824",47,,,,,,None,3 - No Report,,,,,,,,,,,,,,,,Perforate,"1,769"
00/04-11-057-27W5/2,Celtic Exploration Ltd.,4/2/2013,Wild River,Montney,H,Open,PP (StackFRAC),GAS,"6,302","2,525",37,,Water,577,195,Unknown,Trican,3 - No Report,16,1,148,,576,37,515,515,490,"1,053",245,0,0,,,16 x 36t/stage N2 Foamed Water Frac,"6,330"
00/06-12-057-27W5/3,Celtic Exploration Ltd.,3/10/2012,Wild River,Montney,H,Open,PP (StackFRAC),GAS,,"4,900",44,,Surfactant,,,Unknown,Trican,3 - No Report,,16,,,880,880,86,"1,372","1,673",612,414,0,0,,,16 x 55t/stage N2 Surfactant Frac,"4,165"
02/04-14-057-27W5/0,Celtic Exploration Ltd.,,Wild River,Montney,D,Cased,None,DRABN,,,1,,,,,,None,3 - No Report,,,,,,,,,,,,,,,,Vertical Strat Test prior to Hz well,
00/05-23-057-27W5/0,XTO Energy,9/21/2014,Wild River,Montney,H,Cased,Flow-Through BP,GAS,,"3,530",20,10-30%,Slickwater,"15,357",0,CSG-Optimum SW,Canyon,1 - Report w Charts,15,13,"1,380",113,"2,100","1,947","1,160","15,074","2,230","1,910",543,0,0,,,14 x 150t/stage CSG-Optimum SW Frac,
00/08-29-057-27W5/0,Tourmaline Oil,,Leland,Montney,H,Open,None,DRABN,,,1,,,,,,None,3 - No Report,,,,,,,,,,,,,,,,Vertical Strat Test prior to Hz well,
00/04-02-058-19W5/0,Genesis Exploration,,Pine Creek,Montney,H,,,STAN,,,1,,,,,,,3 - No Report,,,,,,,,,,,,,,,, Stage Frac,
00/13-30-058-19W5/0,Trilogy Energy,4/2/2012,Kaybob South,Montney,H,Open,PP (StackFRAC),GSUP,,"1,168",8,<10%,Oil,646,289,CWS-Dynagel-H2,Calfrac,3 - No Report,18,18,"1,475",78,180,180,29,514,783,557,436,0,0,,,18 x 10t/stage N2 CWS-Dynagel-H2 Frac,"1,580"
00/08-32-058-19W5/0,Trilogy Energy,10/27/2010,Kaybob South,Montney,H,Open,PP (StackFRAC),GSUP,,"1,089",66,,Oil,,,Unknown,Calfrac,3 - No Report,,12,,,114,114,,,,,,,,,,9 x 11t/stage + 3 x 5t/stage Oil Frac,"1,154"
00/07-16-058-20W5/3,Genesis Exploration,,Pine Creek,Montney,H,Open,None,DRABN,,,1,,Other Acid,,,,None,3 - No Report,,,,,,,,5,,,,,,,,"OH,Stim",
00/15-23-058-20W5/2,Celtic Exploration Ltd.,,Pine Creek,Montney,H,Open,None,DRABN,,,1,,,,,,None,3 - No Report,,,,,,,,,,,,,,,,Abandon during drilling,
02/16-23-058-20W5/0,Celtic Exploration Ltd.,,Pine Creek,Montney,V,Open,None,DRABN,,,1,,,,,,None,3 - No Report,,,,,,,,,,,,,,,,Abandon during drilling,
